PlayerID,Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel
47866,24,Male,Europe,Strategy,9.413899400144036,0,Easy,18,60,4,9,Medium
43414,15,Male,Europe,Action,18.67532969140833,0,Easy,16,13,61,5,Low
21934,43,Female,Asia,RPG,10.196297051622576,0,Medium,0,54,48,22,Low
15253,49,Female,Other,Simulation,7.508461453433506,0,Hard,8,113,59,47,Medium
20764,31,Male,Europe,Strategy,15.922472303431949,0,Medium,16,170,49,15,High
41473,19,Female,USA,Sports,9.989185829093184,0,Hard,7,120,89,38,Medium
14556,37,Male,USA,Simulation,12.450476261051175,0,Medium,0,173,43,49,Low
17862,24,Female,Asia,Strategy,13.4227871604919,0,Easy,0,63,10,6,Low
49005,38,Male,Europe,Sports,0.360773505016204,0,Easy,7,39,56,36,Medium
35366,33,Female,Europe,Simulation,13.751662814999412,0,Medium,13,56,7,24,Medium
9872,37,Female,USA,Action,7.8875705091426385,0,Hard,14,126,54,13,High
11380,30,Female,Asia,Strategy,13.31808078194987,1,Easy,5,61,3,37,Low
21808,24,Female,USA,Strategy,20.92462894022648,0,Hard,7,48,4,24,Low
15068,49,Female,Europe,Sports,6.867949577267603,1,Easy,3,20,71,20,Medium
41024,43,Female,USA,Simulation,2.8069518854675364,0,Hard,1,176,42,12,Low
36823,30,Male,USA,Strategy,7.316737305963895,0,Easy,8,69,36,33,Medium
22362,17,Male,Europe,Action,5.487086308710439,0,Hard,7,24,83,7,Low
36690,27,Male,Asia,Sports,0.9335316053171692,0,Medium,11,140,46,8,High
48288,18,Female,USA,RPG,23.61890031935928,1,Easy,0,10,33,35,Low
36561,19,Male,Asia,Action,9.480399423774957,0,Easy,4,32,31,43,Medium
29393,37,Male,USA,Simulation,8.617851520041002,0,Medium,19,125,85,36,High
47108,29,Female,Asia,Simulation,19.33173344653918,0,Medium,0,104,49,10,Low
22212,46,Male,Europe,Action,6.185634007733233,0,Medium,13,164,45,44,High
23006,31,Female,USA,Simulation,11.1284082350072,0,Easy,12,174,70,41,High
34787,46,Female,Europe,Sports,11.581057884560051,0,Easy,16,24,1,41,Medium
15037,44,Male,Europe,Action,18.25440889680461,0,Easy,5,128,48,37,Medium
48807,42,Female,Europe,Simulation,19.08901896684907,0,Medium,2,76,51,47,Low
42083,23,Male,USA,Simulation,5.78250945624616,0,Easy,0,27,93,49,Low
44113,49,Male,USA,RPG,22.820748359039115,0,Easy,19,13,39,14,Low
18517,25,Male,Europe,Strategy,14.257461164858668,0,Medium,15,163,70,18,High
38534,22,Male,Europe,Simulation,6.158425258014457,0,Hard,5,121,77,17,Medium
26792,16,Female,Asia,Action,13.428161296625124,1,Easy,19,110,64,31,High
27320,39,Male,USA,RPG,3.240413775111822,0,Easy,19,19,83,10,Medium
12818,44,Male,USA,RPG,14.319102191749648,0,Medium,17,56,13,5,Medium
44884,26,Male,USA,Action,3.5650679858799528,0,Hard,8,62,20,11,Medium
17253,34,Male,Asia,Sports,21.83826013312625,0,Easy,10,138,14,18,Medium
34549,42,Male,USA,Strategy,0.9936930320309854,0,Hard,16,23,81,21,Medium
40207,15,Female,Asia,Action,18.44191000728776,1,Medium,19,169,77,36,High
12820,33,Male,USA,RPG,9.623910563493634,0,Medium,4,57,8,46,Low
39441,19,Female,USA,Simulation,7.057955984485418,0,Easy,18,175,27,28,High
15510,45,Female,USA,Sports,17.299711505277315,0,Easy,13,127,38,23,Medium
36818,41,Male,USA,Action,9.491610613431645,0,Medium,15,70,13,25,Medium
43433,21,Male,Asia,Simulation,7.543533433180309,0,Hard,3,150,93,15,Medium
43860,18,Female,Europe,Simulation,17.55837557231183,0,Easy,7,32,78,21,Low
19720,46,Male,USA,Strategy,2.636245940920496,0,Easy,5,148,65,43,Medium
32229,22,Male,Asia,RPG,5.284629655221396,1,Medium,7,85,75,21,Medium
45696,34,Female,Europe,RPG,7.830418894059462,0,Easy,4,35,32,39,Low
12096,15,Male,USA,Strategy,7.195294546994267,1,Easy,18,13,32,41,Low
35364,36,Female,USA,Simulation,19.43672246369938,0,Medium,14,174,8,7,High
37420,37,Female,Asia,RPG,9.843719580651342,1,Easy,6,18,43,12,Low
21847,35,Male,USA,Strategy,14.29397357422666,0,Easy,15,58,48,36,Medium
47316,32,Female,USA,RPG,21.271662581275333,0,Medium,3,155,99,23,Medium
42246,32,Male,Europe,Sports,14.298996703657604,0,Medium,8,15,63,47,Low
15312,44,Male,Europe,Strategy,10.733539406638185,1,Hard,17,14,56,46,Medium
20056,48,Male,Other,Sports,0.1817435674036653,0,Medium,14,20,15,30,Low
34813,43,Male,Other,Sports,17.114816598159834,0,Hard,3,85,78,46,Medium
21573,21,Male,USA,Strategy,17.56248668436685,0,Hard,9,136,70,36,Medium
12173,21,Male,Europe,Simulation,13.155097206259306,0,Medium,5,137,54,39,Medium
27691,44,Male,USA,Strategy,1.4920855980754766,1,Hard,11,164,60,30,High
22882,17,Female,USA,RPG,0.5810394039971412,1,Medium,5,163,9,24,Medium
37495,22,Female,Asia,Simulation,8.628881818752454,0,Easy,7,67,35,22,Medium
48224,25,Female,Asia,Strategy,9.442394106136248,0,Medium,11,166,40,22,High
42399,31,Female,USA,Strategy,18.41034294615314,0,Medium,5,19,15,0,Low
34093,15,Female,Asia,Simulation,16.087012157751733,0,Medium,2,87,78,7,Low
36210,19,Male,USA,Strategy,0.6814241593703132,0,Medium,13,152,57,6,High
21385,41,Male,Europe,Sports,13.47557039580909,0,Medium,16,20,40,4,Low
37598,42,Male,USA,Strategy,1.1125928311710096,0,Easy,0,156,15,6,Low
16539,44,Male,Europe,RPG,8.593222087317042,0,Easy,2,82,30,12,Low
39273,32,Female,Asia,Strategy,11.955376226482088,1,Easy,12,124,68,21,High
10701,38,Male,USA,Strategy,11.783012850068848,0,Easy,8,96,15,37,Medium
49016,31,Male,Other,Simulation,8.81273549742377,0,Hard,9,96,82,33,Medium
30561,44,Female,Europe,Action,8.555322696422216,0,Easy,4,126,19,17,Medium
19645,28,Male,Europe,RPG,16.49061172784195,0,Medium,18,17,95,44,Medium
48553,23,Male,Asia,RPG,5.106586305037738,0,Medium,16,11,88,32,Medium
40477,25,Male,USA,Sports,9.325408218233232,1,Hard,16,94,20,14,High
22825,28,Male,Asia,Action,12.53437945247718,0,Medium,4,173,51,45,Medium
17089,28,Male,USA,Simulation,10.402090046207531,0,Medium,8,158,21,36,Medium
30887,28,Male,Asia,Sports,12.868479812556776,0,Easy,14,35,90,39,Medium
31571,29,Male,USA,Simulation,23.68079284967375,0,Easy,17,131,56,8,High
38258,45,Male,Asia,Sports,15.305306999285666,0,Medium,6,70,49,32,Medium
31893,39,Male,USA,Strategy,11.722449199853864,1,Easy,7,83,94,35,Medium
26259,45,Female,USA,Action,16.42175489770993,0,Easy,1,33,65,0,High
12232,40,Male,Europe,Simulation,2.8187399893276712,0,Easy,13,90,12,3,Medium
24861,17,Male,USA,Simulation,20.81379624550901,0,Hard,15,178,23,4,High
39483,40,Female,USA,Strategy,10.350058055577406,0,Medium,12,22,8,33,Low
23190,39,Female,Asia,Strategy,20.771614412463634,0,Easy,6,91,27,31,Medium
11233,18,Male,Europe,Action,2.91986464546643,0,Easy,19,66,92,45,High
43512,22,Female,Asia,RPG,21.81278195351093,0,Medium,15,14,12,32,Low
15623,30,Male,USA,Sports,18.196998023495887,0,Easy,8,92,80,45,Medium
20991,16,Female,Europe,Simulation,19.6386809820219,0,Easy,13,59,51,39,Medium
40731,42,Male,Asia,Action,14.033655764394425,0,Easy,9,79,17,29,Medium
23160,24,Male,USA,Strategy,17.193145617811886,0,Hard,5,97,34,34,Medium
33219,22,Female,USA,Simulation,5.635911569972055,0,Easy,17,79,94,39,High
11781,46,Female,Europe,Action,4.473308032802192,0,Hard,13,173,17,3,High
20456,47,Female,Europe,Action,10.260093167221791,1,Hard,17,159,80,45,High
38426,21,Female,USA,Action,22.576504657005227,0,Medium,11,148,68,40,High
32405,34,Male,USA,Strategy,6.477401817896324,1,Medium,1,115,80,12,Low
